position	channelId	channelTitle	videoId	publishedAt	publishedAtSQL	videoTitle	videoDescription	videoCategoryId	videoCategoryLabel	duration	durationSec	dimension	definition	caption	licensedContent	viewCount	likeCount	dislikeCount	favoriteCount	commentCount
2586	UCpKiWvqHKjU9mBlOAccQJrQ	如何他妈的做	L0BA_0O46Io	2017-01-05T23:13:15.000Z	2017-01-06 00:13:15	Andy Grammer BRAND NEW SONG Good Parts Gilford, NH 8 21 16		22	People & Blogs	PT4M5S	245	2d	sd	false	1	0	0	0	0	0
2587	UCpKiWvqHKjU9mBlOAccQJrQ	如何他妈的做	bitWEkGs7mw	2017-01-05T23:13:15.000Z	2017-01-06 00:13:15	Andy Grammer Big League Chew Challenge		22	People & Blogs	PT1M30S	90	2d	sd	false	1	0	0	0	0	0
2588	UCpKiWvqHKjU9mBlOAccQJrQ	如何他妈的做	uOxVPVz-pt4	2017-01-05T23:13:15.000Z	2017-01-06 00:13:15	Andy Grammer Back Home Tanglewood 8 23 16		22	People & Blogs	PT1M37S	97	2d	sd	false	1	0	0	0	0	0
2589	UCpKiWvqHKjU9mBlOAccQJrQ	如何他妈的做	QdUcIIhKi9Y	2017-01-05T23:13:15.000Z	2017-01-06 00:13:15	Andy Grammer Apologize		22	People & Blogs	PT2M38S	158	2d	sd	false	1	0	0	0	0	0
2590	UCpKiWvqHKjU9mBlOAccQJrQ	如何他妈的做	ZBe3XIV5q7Q	2017-01-06T00:26:23.000Z	2017-01-06 01:26:23	Hozier Take Me To Church How to Play On Guitar Chords Easy Guitar Lessons		22	People & Blogs	PT11M17S	677	2d	sd	false	1	2	0	0	0	0
2591	UCpKiWvqHKjU9mBlOAccQJrQ	如何他妈的做	4QaxT8g5iCc	2017-01-05T23:13:15.000Z	2017-01-06 00:13:15	Andy Grammer Apologize Wolf Den Mohegan Sun 10 2 11		22	People & Blogs	PT3M25S	205	2d	sd	false	1	0	0	0	0	0
2592	UCpKiWvqHKjU9mBlOAccQJrQ	如何他妈的做	yRS1V8GvuHY	2017-01-06T00:26:18.000Z	2017-01-06 01:26:18	Hozier Blood Nobody has actually heard of me		22	People & Blogs	PT3M51S	231	2d	sd	false	1	0	0	0	0	0
2593	UCpKiWvqHKjU9mBlOAccQJrQ	如何他妈的做	FkVewyvGwJg	2017-01-05T23:13:15.000Z	2017-01-06 00:13:15	Andrew Hozier Byrne Blood, live @ Sugar Club, Dublin, June 13 2011		22	People & Blogs	PT3M	3	2d	sd	false	1	2	0	0	0	0
2594	UCpKiWvqHKjU9mBlOAccQJrQ	如何他妈的做	pijnwpJOipw	2017-01-06T00:26:13.000Z	2017-01-06 01:26:13	Hozier Blackbird Loufest Full Performance		22	People & Blogs	PT3M49S	229	2d	sd	false	1	2	0	0	0	0
2595	UCpKiWvqHKjU9mBlOAccQJrQ	如何他妈的做	6yJvJyY06-8	2017-01-06T00:26:10.000Z	2017-01-06 01:26:10	Hozier Arsonist Lullaby Marley Lyon Remix		22	People & Blogs	PT3M29S	209	2d	sd	false	1	3	0	0	0	0
2596	UCpKiWvqHKjU9mBlOAccQJrQ	如何他妈的做	vkYrx4eCSjs	2017-01-06T00:26:08.000Z	2017-01-06 01:26:08	How Will I Know! Daviana Fletcher Teen Miss StarQuest Upland, CA 2016		22	People & Blogs	PT1M1S	61	2d	sd	false	1	1	0	0	0	0
2597	UCpKiWvqHKjU9mBlOAccQJrQ	如何他妈的做	WgY9OgQgIzE	2017-01-05T23:13:15.000Z	2017-01-06 00:13:15	Andie meets Hozier iHeartRadio LIVE in Sydney		22	People & Blogs	PT5M14S	314	2d	hd	false	1	1	0	0	0	0
2598	UCpKiWvqHKjU9mBlOAccQJrQ	如何他妈的做	5QE_T0DQjFY	2017-01-06T00:26:03.000Z	2017-01-06 01:26:03	How To Play Take Me To Church by Hozier		22	People & Blogs	PT10M35S	635	2d	sd	false	1	0	0	0	0	0
2599	UCpKiWvqHKjU9mBlOAccQJrQ	如何他妈的做	TC-B9aImJoA	2017-01-05T23:13:15.000Z	2017-01-06 00:13:15	ambulance is best jojo		22	People & Blogs	PT37S	37	2d	sd	false	1	0	0	0	0	0
2600	UCpKiWvqHKjU9mBlOAccQJrQ	如何他妈的做	B2v9mQjNe88	2017-01-05T23:13:15.000Z	2017-01-06 00:13:15	Alvin and The ChipMunks Jesse McCartney How do You Sleep		22	People & Blogs	PT3M49S	229	2d	sd	false	1	0	0	0	0	0
2601	UCpKiWvqHKjU9mBlOAccQJrQ	如何他妈的做	zlltktTBcoE	2017-01-06T00:25:55.000Z	2017-01-06 01:25:55	How Do You Sleep Jesse McCartney With Lyrics		22	People & Blogs	PT3M44S	224	2d	sd	false	1	0	0	0	0	0
2602	UCpKiWvqHKjU9mBlOAccQJrQ	如何他妈的做	_e7kZd3KQFM	2017-01-06T00:25:53.000Z	2017-01-06 01:25:53	Ben Howard Empty Corridors 1		22	People & Blogs	PT4M34S	274	2d	sd	false	1	3	0	0	0	0
2603	UCpKiWvqHKjU9mBlOAccQJrQ	如何他妈的做	zRIPKeTQ9Hc	2017-01-06T00:25:50.000Z	2017-01-06 01:25:50	How Do You Sleep Jesse McCartney Lyrics		22	People & Blogs	PT3M47S	227	2d	sd	false	1	0	0	0	0	0
2604	UCpKiWvqHKjU9mBlOAccQJrQ	如何他妈的做	GPFYuGrfoqE	2017-01-06T00:25:48.000Z	2017-01-06 01:25:48	How About Now Bryson Tiller		22	People & Blogs	PT2M36S	156	2d	sd	false	1	7	0	0	0	0
2605	UCpKiWvqHKjU9mBlOAccQJrQ	如何他妈的做	yYlfXH-DZBI	2017-01-05T23:13:15.000Z	2017-01-06 00:13:15	ALL OF YOSHIKAGE KIRAS THEMES JoJos Bizarre Adventure DIU OST ~Good Night Morioh Cho!~		22	People & Blogs	PT13M7S	787	2d	sd	false	1	1	0	0	0	0
2606	UCpKiWvqHKjU9mBlOAccQJrQ	如何他妈的做	AmpMReZqgWw	2017-01-05T23:13:15.000Z	2017-01-06 00:13:15	Alberto FÃ©lix Piano I'LL STAND BY YOU The Pretenders		22	People & Blogs	PT3M26S	206	2d	sd	false	1	0	0	0	0	0
2607	UCpKiWvqHKjU9mBlOAccQJrQ	如何他妈的做	nHzfBLfUvlU	2017-01-05T23:13:15.000Z	2017-01-06 00:13:15	Aijia and Andy Grammer duet What a Wonderful World 2016		22	People & Blogs	PT3M	3	2d	sd	false	1	0	0	0	0	0
2608	UCpKiWvqHKjU9mBlOAccQJrQ	如何他妈的做	ow_-rrE05VI	2017-01-06T00:26:37.000Z	2017-01-06 01:26:37	Herbie and Nathan Fletcher Peninsula South		22	People & Blogs	PT7M21S	441	2d	sd	false	1	0	0	0	0	0
2609	UCpKiWvqHKjU9mBlOAccQJrQ	如何他妈的做	3R3drT0Y2rY	2017-01-06T00:26:36.000Z	2017-01-06 01:26:36	HD Jesse McCartney How Do You Sleep! Bobby Bones Show		22	People & Blogs	PT3M27S	207	2d	sd	false	1	3	0	0	0	0
2610	UCpKiWvqHKjU9mBlOAccQJrQ	如何他妈的做	LuZ3NlOSmTM	2017-01-06T00:26:36.000Z	2017-01-06 01:26:36	Ben Howard Cloud Nine		22	People & Blogs	PT3M29S	209	2d	sd	false	1	6	0	0	0	0
2611	UCpKiWvqHKjU9mBlOAccQJrQ	如何他妈的做	wVurFykSczQ	2017-01-06T00:26:35.000Z	2017-01-06 01:26:35	Ben Howard Cloud Nine live at La Maroquinerie		22	People & Blogs	PT4M11S	251	2d	sd	false	1	11	0	0	0	0
2612	UCpKiWvqHKjU9mBlOAccQJrQ	如何他妈的做	DR117G5dCtw	2017-01-05T23:13:15.000Z	2017-01-06 00:13:15	Agony of the Shoulders with CT Fletcher		22	People & Blogs	PT12M51S	771	2d	sd	false	1	1	0	0	0	0
2613	UCpKiWvqHKjU9mBlOAccQJrQ	如何他妈的做	IKK8znF_Vy4	2017-01-05T23:13:15.000Z	2017-01-06 00:13:15	Abby talking about Jojos Bows December 2016		22	People & Blogs	PT1M43S	103	2d	sd	false	1	0	0	0	0	0
2614	UCpKiWvqHKjU9mBlOAccQJrQ	如何他妈的做	1ZabPjXL8Nk	2017-01-06T00:26:57.000Z	2017-01-06 01:26:57	Happy Hozier Part 2		22	People & Blogs	PT10M5S	605	2d	sd	false	1	1	0	0	0	0
